"","Ticker","Year"
"1","A",2012
"2","ADBE",2012
"3","ADI",2012
"4","ADSK",2012
"5","ADSK",2013
"6","ADSK",2014
"7","AMAT",2012
"8","AMAT",2013
"9","AMAT",2014
"10","ANDV",2012
"11","ANDV",2013
"12","ANDV",2014
"13","AZO",2012
"14","AZO",2013
"15","AZO",2014
"16","BBBY",2012
"17","BBBY",2013
"18","BBBY",2014
"19","BBY",2012
"20","BBY",2013
"21","BBY",2014
"22","BF.A",2012
"23","BF.A",2013
"24","BF.A",2014
"25","BG",2012
"26","BG",2013
"27","BG",2014
"28","BKE",2012
"29","BMRN",2012
"30","BX",2012
"31","BX",2013
"32","BX",2014
"33","CAG",2012
"34","CAG",2013
"35","CAG",2014
"36","CCE",2012
"37","CCE",2013
"38","CCE",2014
"39","CCL",2012
"40","CCL",2013
"41","CCL",2014
"42","CE",2012
"43","CE",2013
"44","CE",2014
"45","CHRW",2012
"46","CHRW",2013
"47","CHRW",2014
"48","CHTR",2012
"49","CHTR",2013
"50","CHTR",2014
"51","CLR",2012
"52","COST",2012
"53","CPB",2012
"54","CPB",2013
"55","CPB",2014
"56","CRM",2012
"57","CRM",2013
"58","CRM",2014
"59","CSCO",2012
"60","DE",2012
"61","DE",2013
"62","DE",2014
"63","DFS",2012
"64","DG",2012
"65","DG",2013
"66","DG",2014
"67","DLTR",2012
"68","DLTR",2013
"69","DLTR",2014
"70","EPD",2012
"71","EPD",2013
"72","EPD",2014
"73","ETP",2012
"74","FDX",2012
"75","FDX",2013
"76","FDX",2014
"77","FLT",2012
"78","FLT",2013
"79","FLT",2014
"80","GIS",2012
"81","GIS",2013
"82","GIS",2014
"83","GPS",2012
"84","GPS",2013
"85","GPS",2014
"86","HD",2012
"87","HRL",2012
"88","HRL",2013
"89","HRL",2014
"90","IEP",2012
"91","INTU",2012
"92","JWN",2012
"93","JWN",2013
"94","JWN",2014
"95","K",2014
"96","KMX",2012
"97","KMX",2013
"98","KMX",2014
"99","KR",2012
"100","KSS",2012
"101","LB",2012
"102","LB",2013
"103","LB",2014
"104","LNG",2012
"105","LNG",2013
"106","LNG",2014
"107","LOW",2012
"108","LTRPA",2012
"109","LTRPA",2013
"110","LTRPA",2014
"111","LVS",2012
"112","LVS",2013
"113","LVS",2014
"114","M",2012
"115","M",2013
"116","M",2014
"117","MGLN",2012
"118","MGLN",2013
"119","MGLN",2014
"120","MKC",2012
"121","MKL",2012
"122","MON",2012
"123","MON",2013
"124","MON",2014
"125","MOS",2012
"126","MU",2012
"127","MU",2013
"128","MXIM",2012
"129","MXIM",2013
"130","MXIM",2014
"131","NKE",2012
"132","NKE",2013
"133","NKE",2014
"134","NLY",2012
"135","NOW",2012
"136","NVDA",2012
"137","ORCL",2012
"138","ORCL",2013
"139","ORCL",2014
"140","PAA",2012
"141","PAYX",2012
"142","PLD",2012
"143","RHT",2012
"144","ROST",2012
"145","ROST",2013
"146","ROST",2014
"147","SBAC",2012
"148","SIRI",2012
"149","SJM",2012
"150","SO",2012
"151","SO",2013
"152","SO",2014
"153","STJ",2014
"154","STZ",2012
"155","STZ",2013
"156","STZ",2014
"157","SWK",2014
"158","TGT",2012
"159","TGT",2013
"160","TGT",2014
"161","TIF",2012
"162","TJX",2012
"163","TMUS",2012
"164","TMUS",2013
"165","TMUS",2014
"166","TRI",2012
"167","TRI",2013
"168","TRI",2014
"169","TXT",2014
"170","VMW",2012
"171","VMW",2013
"172","VMW",2014
"173","WBA",2012
"174","WDAY",2012
"175","WDAY",2013
"176","WDAY",2014
"177","WDC",2014
"178","WFM",2012
"179","WFM",2013
"180","WFM",2014
"181","WMB",2012
"182","WMT",2012
