"","Ticker","Year","FirmSize"
"1","A",2012,10.02
"2","ADBE",2012,10
"3","ADI",2012,9.75
"4","ADSK",2012,9.54
"5","ADSK",2013,9.64
"6","ADSK",2014,9.68
"7","AMAT",2012,10.08
"8","AMAT",2013,10.08
"9","AMAT",2014,10.12
"10","ANDV",2012,10.03
"11","ANDV",2013,10.13
"12","ANDV",2014,10.22
"13","AZO",2012,9.81
"14","AZO",2013,9.85
"15","AZO",2014,9.89
"16","BBBY",2012,9.81
"17","BBBY",2013,9.82
"18","BBBY",2014,9.87
"19","BBY",2012,10.24
"20","BBY",2013,10.18
"21","BBY",2014,10.2
"22","BF.A",2012,9.58
"23","BF.A",2013,9.59
"24","BF.A",2014,9.63
"25","BG",2012,10.45
"26","BG",2013,10.43
"27","BG",2014,10.33
"28","BKE",2012,8.79
"29","BMRN",2012,9.2
"30","BX",2012,10.46
"31","BX",2013,10.47
"32","BX",2014,10.5
"33","CAG",2012,10.1
"34","CAG",2013,10.32
"35","CAG",2014,10.29
"36","CCE",2012,10.21
"37","CCE",2013,10.21
"38","CCE",2014,10.21
"39","CCL",2012,10.59
"40","CCL",2013,10.6
"41","CCL",2014,10.6
"42","CE",2012,9.95
"43","CE",2013,9.96
"44","CE",2014,9.94
"45","CHRW",2012,9.45
"46","CHRW",2013,9.45
"47","CHRW",2014,9.51
"48","CHTR",2012,10.19
"49","CHTR",2013,10.24
"50","CHTR",2014,10.39
"51","CLR",2012,9.96
"52","COST",2012,10.47
"53","CPB",2012,9.94
"54","CPB",2013,9.96
"55","CPB",2014,9.92
"56","CRM",2012,9.67
"57","CRM",2013,9.91
"58","CRM",2014,9.97
"59","CSCO",2012,10.97
"60","DE",2012,10.75
"61","DE",2013,10.77
"62","DE",2014,10.79
"63","DFS",2012,10.88
"64","DG",2012,10.01
"65","DG",2013,10.03
"66","DG",2014,10.04
"67","DLTR",2012,9.42
"68","DLTR",2013,9.46
"69","DLTR",2014,9.53
"70","EPD",2012,10.56
"71","EPD",2013,10.6
"72","EPD",2014,10.67
"73","ETP",2012,10.64
"74","FDX",2012,10.5
"75","FDX",2013,10.53
"76","FDX",2014,10.52
"77","FLT",2012,9.43
"78","FLT",2013,9.59
"79","FLT",2014,9.93
"80","GIS",2012,10.36
"81","GIS",2013,10.36
"82","GIS",2014,10.38
"83","GPS",2012,9.9
"84","GPS",2013,9.89
"85","GPS",2014,9.89
"86","HD",2012,10.62
"87","HRL",2012,9.66
"88","HRL",2013,9.69
"89","HRL",2014,9.74
"90","IEP",2012,10.41
"91","INTU",2012,9.65
"92","JWN",2012,9.92
"93","JWN",2013,9.93
"94","JWN",2014,9.97
"95","K",2014,10.2
"96","KMX",2012,9.97
"97","KMX",2013,10.05
"98","KMX",2014,10.11
"99","KR",2012,10.39
"100","KSS",2012,10.18
"101","LB",2012,9.81
"102","LB",2013,9.82
"103","LB",2014,9.85
"104","LNG",2012,9.67
"105","LNG",2013,9.99
"106","LNG",2014,10.1
"107","LOW",2012,10.53
"108","LTRPA",2012,9.86
"109","LTRPA",2013,9.85
"110","LTRPA",2014,9.87
"111","LVS",2012,10.35
"112","LVS",2013,10.36
"113","LVS",2014,10.35
"114","M",2012,10.35
"115","M",2013,10.35
"116","M",2014,10.35
"117","MGLN",2012,9.18
"118","MGLN",2013,9.25
"119","MGLN",2014,9.32
"120","MKC",2012,9.62
"121","MKL",2012,10.1
"122","MON",2012,10.35
"123","MON",2013,10.38
"124","MON",2014,10.37
"125","MOS",2012,10.24
"126","MU",2012,10.15
"127","MU",2013,10.3
"128","MXIM",2012,9.57
"129","MXIM",2013,9.6
"130","MXIM",2014,9.64
"131","NKE",2012,10.18
"132","NKE",2013,10.25
"133","NKE",2014,10.28
"134","NLY",2012,11.13
"135","NOW",2012,11.68
"136","NVDA",2012,9.78
"137","ORCL",2012,10.9
"138","ORCL",2013,10.93
"139","ORCL",2014,10.99
"140","PAA",2012,10.28
"141","PAYX",2012,9.76
"142","PLD",2012,10.17
"143","RHT",2012,9.43
"144","ROST",2012,9.56
"145","ROST",2013,9.6
"146","ROST",2014,9.67
"147","SBAC",2012,9.82
"148","SIRI",2012,9.96
"149","SJM",2012,9.96
"150","SO",2012,10.8
"151","SO",2013,10.81
"152","SO",2014,9.86
"153","STJ",2014,10.01
"154","STZ",2012,9.92
"155","STZ",2013,10.16
"156","STZ",2014,10.18
"157","SWK",2014,10.22
"158","TGT",2012,10.7
"159","TGT",2013,10.67
"160","TGT",2014,10.67
"161","TIF",2012,9.65
"162","TJX",2012,9.96
"163","TMUS",2012,10.53
"164","TMUS",2013,10.7
"165","TMUS",2014,10.75
"166","TRI",2012,10.51
"167","TRI",2013,10.51
"168","TRI",2014,10.49
"169","TXT",2014,10.17
"170","VMW",2012,10.03
"171","VMW",2013,10.09
"172","VMW",2014,10.18
"173","WBA",2012,10.55
"174","WDAY",2012,11.37
"175","WDAY",2013,11.98
"176","WDAY",2014,9.34
"177","WDC",2014,10.19
"178","WFM",2012,9.72
"179","WFM",2013,9.74
"180","WFM",2014,9.76
"181","WMB",2012,10.39
"182","WMT",2012,11.31
